Lmin,frac
85.8333,0.448543864
85.8333,0.448543864
85.8333,0.419417639
85.8333,0.384466169
86.8333,0.391554853
88.8333,0.405253435
89.8333,0.345083616
91.5,0.26411694
94.1667,0.39469048
94.8333,0.393672898
94.8333,0.388400488
94.8333,0.388400488
94.1667,0.378761282
94.1667,0.378761282
93.8333,0.358791602
93.8333,0.358791602
92.1667,0.352621934
92.6667,0.361510661
92.6667,0.368705263
92.6667,0.390287989
91.5,0.426229508
90.5,0.475138122
89.5,0.51582905
88.5,0.542372881
90.1667,0.617375373
89.1667,0.626168738
88.1667,0.638941913
86.6667,0.644231291
86.1667,0.638297625
85.1667,0.622308954
85.3333,0.605468205
85.5,0.600389474
84.5,0.573964497
83.8333,0.558647936
83.5,0.532934132
83.5,0.51497006
83.1667,0.494990182
83.1667,0.482966139
83.1667,0.482966139
83.5,0.479041916
85.3333,0.519531062
87,0.534482759
87,0.551724138
87,0.568965517
87,0.591954023
86,0.610465116
85.3333,0.615234615
84.3333,0.62252989
84.8333,0.63654249
84.8333,0.63654249
85.5,0.623781287
85.5,0.617933333
85.5,0.61208538
85.5,0.606237427
85.8333,0.601941205
85.5,0.59454152
84.6667,0.631889515
85,0.627450588
85,0.621568235
86,0.625968605
86,0.631782558
85,0.639215294
85,0.65098
84,0.652777381
81.5,0.64212638
81.5,0.64826135
81.5,0.64826135
81.5,0.654396319
81.5,0.660531288
81.5,0.660531288
81.5,0.666666258
81.5,0.666666258
83.8333,0.67196806
83.8333,0.67196806
83.3333,0.663999866
83.3333,0.663999866
83.3333,0.663999866
83.3333,0.663999866
82.8333,0.655935475
82.8333,0.655935475
82.8333,0.643863036
83.3333,0.645999858
83.3333,0.645999858
83.8333,0.648111192
84.3333,0.65019749
84.3333,0.65019749
84.8333,0.652259195
84.8333,0.652259195
88.1667,0.659735478
89.1667,0.659813585
90,0.657407778
88.3333,0.649056471
86,0.635659302
84.8333,0.630648578
84.8333,0.622789636
85.8333,0.627184321
95.3333,0.65909079
91.3333,0.644160454
87.3333,0.629771233
